level,canonical_key,your_aliases,closest_csv_name_en,closest_csv_name_np,closest_csv_code,closest_csv_district,score
municipality,barahachhetra,Barahachhetra Municipality | बराह नगरपालिका | Barahachhetra | बराह,Barahathawa,बरहथवा नगरपालिका,21903,Sarlahi,66.7
gaunpalika,siddhakumakh,Siddhakumakh Gaunpalika | सिद्ध कुमाख गाउँपालिका | Siddhakumakh | सिद्ध कुमाख,Siddhalek,सिद्धलेक गाउँपालिका,33011,Dhading,66.7
gaunpalika,barpak_sulikot,Barpak Sulikot Gaunpalika | बारपाक सुलिकोट गाउँपालिका | Barpak Sulikot | बारपाक सुलिकोट,Sulikot,सुलीकोट गाउँपालिका,43611,Gorkha,66.7
gaunpalika,paribartan,Paribartan Gaunpalika | परिवर्तन गाउँपालिका | Pariwartan Gaunpalika | दुईखोली  गाउँपालिका | Paribartan | परिवर्तन | Pariwartan | दुईखोली,Patan,पाटन नगरपालिका,77406,Baitadi,66.7
gaunpalika,manang_ngisyang,Manang Ngisyang Gaunpalika | मनाङ ङिस्याङ गाउँपालिका | Manang Ngisyang | मनाङ ङिस्याङ,Manebhanjyang,मानेभञ्याङ गाउँपालिका,11205,Okhaldhunga,64.3
gaunpalika,pathivara_yangwarak,Pathivara Yangwarak Gaunpalika | याङ्वरक  गाउँपालिका | Pathivara Yangwarak | याङ्वरक,Yangwarak,याङवरक गाउँपालिका,10109,Taplejung,64.3
gaunpalika,bhokraha_narsingh,Bhokraha Narsingh Gaunpalika | भोक्राहा  गाउँपालिका | Bhokraha Narsingh | भोक्राहा,Bhokraha,भोक्राहा गाउँपालिका,10603,Sunsari,64.0
gaunpalika,shahidbhumi,Shahidbhumi Gaunpalika | सहिदभूमि गाउँपालिका | Shahidbhumi | सहिदभूमि,Buddhabhumi,बुद्धभूमी नगरपालिका,55003,Kapilbastu,63.6
gaunpalika,siddha_kumakh,Siddha Kumakh Gaunpalika | सिद्ध कुमाख गाउँपालिका | Siddha Kumakh | सिद्ध कुमाख,Siddhalek,सिद्धलेक गाउँपालिका,33011,Dhading,63.6
gaunpalika,gangadev,Gangadev Gaunpalika | गंगादेव गाउँपालिका | Gangadev | गंगादेव,Mahadeva,महादेवा गाउँपालिका,21511,Saptari,62.5
gaunpalika,bogatan_phudsil,Bogatan Phudsil Gaunpalika | बोगटान  गाउँपालिका | Bogatan Phudsil | बोगटान,Balan Bihul,बलान-बिहुल गाउँपालिका,21502,Saptari,61.5
gaunpalika,doramba_shailung,Doramba Shailung Gaunpalika | दोरम्बा शैलुङ गाउँपालिका | Doramba Shailung | दोरम्बा शैलुङ,Mahakulung,माहाकुलुङ गाउँपालिका,11105,Solukhumbu,61.5
gaunpalika,limchunbung,Limchunbung Gaunpalika | लिम्चुङबुङ गाउँपालिका | Limchungbung Gaunpalika | लिम्चुङबुङ्ग गाउँपालिका | Limchunbung | लिम्चुङबुङ | Limchungbung | लिम्चुङबुङ्ग,Silichong,सिलीचोङ गाउँपालिका,10910,Sankhuwasabha,60.0
gaunpalika,sunil_smriti,Sunil Smriti Gaunpalika | सुनिल स्मृति गाउँपालिका | Sunil Smriti | सुनिल स्मृति,Lumbini Sanskritik,लुम्बिनी सांस्कृतिक नगरपालिका,54906,Rupandehi,60.0
gaunpalika,rawa_besi,Rawa Besi Gaunpalika | रावा बेसी गाउँपालिका | Rawa Besi | रावा बेसी,Kawasoti,कावासोती नगरपालिका,47607,Nawalparasi_E,58.8
gaunpalika,ruruchhetra,Ruruchhetra Gaunpalika | रुरुक्षेत्र गाउँपालिका | Ruruchhetra | रुरुक्षेत्र,Chhatradev,छत्रदेव गाउँपालिका,55102,Arghakhanchi,57.1
gaunpalika,diprung_chuichumma,Diprung Chuichumma Gaunpalika | दिप्रुङ्ग  गाउँपालिका | Diprung Chuichumma | दिप्रुङ्ग,Diprung,दिप्रुङ गाउँपालिका,11303,Khotang,56.0
gaunpalika,aamachhodingmo,Aamachhodingmo Gaunpalika | आमाछोदिङमो गाउँपालिका | Aamachhodingmo | आमाछोदिङमो,Aamchowk,आमचोक गाउँपालिका,11001,Bhojpur,54.5
municipality,lumbini_cultural,Lumbini Cultural Municipality | लुम्बिनी साँस्कृतिक नगरपालिका | Lumbini Cultural | लुम्बिनी साँस्कृतिक,Lumbini Sanskritik,लुम्बिनी सांस्कृतिक नगरपालिका,54906,Rupandehi,52.9
gaunpalika,lo_ghekar_damodarkunda,Lo Ghekar Damodarkunda Gaunpalika | लो-घेकर दामोदरकुण्ड गाउँपालिका | Lo Ghekar Damodarkunda | लो-घेकर दामोदरकुण्ड,Lamidanda,लामीडाँडा गाउँपालिका,11308,Khotang,51.6
